KF4 Log
z Pzz v Pvv atrue Paa abias Pbb
90760.7 14.4 82.3 303.5 588.9 35777.3 -3.1 126.2
90762.4 14.4 93.5 303.5 548.0 35777.3 -3.1 125.8
90760.6 14.4 92.5 303.5 601.7 35777.3 -1.6 125.5
90762.8 14.4 105.6 303.4 672.2 35777.3 -1.7 125.2
90763.0 14.4 112.0 303.4 626.8 35777.3 -0.8 124.9
90762.8 14.4 115.0 303.4 498.4 35777.3 0.2 124.6
90763.9 14.4 119.7 303.4 338.6 35777.3 0.7 124.3
90766.8 14.4 126.8 303.3 202.1 35777.3 0.5 124.0
90771.0 14.4 136.6 303.3 241.5 35777.3 -0.2 123.7
90776.7 14.4 150.9 303.3 232.6 35777.3 -1.3 123.4
90784.1 14.4 170.1 303.3 250.8 35777.3 -3.0 123.1
90788.1 14.4 177.0 303.2 273.6 35777.3 -3.2 122.8
90792.6 14.4 186.0 303.2 357.3 35777.3 -3.6 122.5
90796.8 14.4 194.7 303.2 370.4 35777.3 -3.7 122.2
90801.4 14.4 203.4 303.2 267.9 35777.3 -4.0 121.9
90806.0 14.4 208.9 303.1 64.1 35777.3 -4.2 121.6
90811.2 14.4 212.4 303.1 -44.8 35777.3 -4.6 121.3
90817.2 14.4 217.6 303.1 -0.9 35777.3 -5.2 121.1
90819.9 14.4 212.2 303.1 -15.3 35777.3 -4.6 120.8
90824.4 14.4 212.7 303.0 -6.6 35777.3 -4.7 120.5
90827.1 14.4 207.4 303.0 -29.6 35777.3 -4.1 120.2
90834.3 14.4 215.9 303.0 -171.6 35777.3 -5.3 119.9
90835.8 14.4 202.4 303.0 -262.2 35777.3 -4.2 119.6
90840.5 14.4 200.7 302.9 -129.0 35777.3 -4.5 119.4
90842.9 14.4 193.0 302.9 -95.7 35777.3 -3.9 119.1
90844.1 14.4 182.5 302.9 -94.1 35777.3 -2.9 118.8
90848.7 14.4 183.8 302.9 -105.1 35777.3 -3.3 118.5
90855.0 14.4 190.2 302.8 -115.4 35777.3 -4.3 118.2
90861.6 14.4 196.5 302.8 -181.4 35777.3 -5.3 118.0
90864.8 14.4 189.6 302.8 -322.4 35777.3 -5.1 117.7
90866.4 14.4 175.9 302.8 -371.3 35777.3 -4.3 117.4
90870.7 14.4 172.3 302.7 -235.1 35777.3 -4.6 117.2
90872.1 14.4 162.8 302.7 12.7 35777.3 -3.8 116.9
90873.2 14.4 157.1 302.7 173.8 35777.3 -3.0 116.6
90875.1 14.4 156.3 302.7 149.9 35777.3 -2.5 116.4
90877.6 14.4 156.0 302.7 -7.1 35777.3 -2.3 116.1
90881.7 14.4 157.8 302.6 -179.1 35777.3 -2.7 115.8
90883.2 14.4 147.8 302.6 -349.9 35777.3 -2.1 115.6
90887.6 14.4 145.4 302.6 -354.5 35777.3 -2.6 115.3
90890.0 14.4 138.4 302.6 -177.5 35777.3 -2.5 115.0
90889.8 14.4 125.9 302.5 -72.7 35777.3 -1.4 114.8
90893.1 14.4 125.6 302.5 -270.5 35777.3 -1.7 114.5
90895.7 14.4 119.3 302.5 -455.9 35777.3 -1.8 114.3
90896.5 14.4 105.8 302.5 -408.9 35777.3 -1.2 114.0
90899.0 14.4 99.9 302.4 -288.3 35777.3 -1.4 113.8
90898.2 14.4 85.3 302.4 -262.9 35777.3 -0.4 113.5
90899.1 14.4 77.7 302.4 -264.6 35777.3 -0.1 113.3
90898.9 14.4 66.9 302.4 -236.8 35777.3 0.5 113.0
90898.5 14.4 56.6 302.4 -225.1 35777.3 1.1 112.8
90899.5 14.4 52.5 302.3 -153.2 35777.3 1.1 112.5
90901.4 14.4 52.3 302.3 -158.0 35777.3 0.8 112.3
90901.3 14.4 45.2 302.3 -188.5 35777.3 1.2 112.0
90899.1 14.4 31.8 302.3 -155.8 35777.3 2.3 111.8
90902.9 14.4 39.1 302.3 -143.9 35777.3 1.2 111.5
90905.9 14.4 43.4 302.2 -150.6 35777.3 0.4 111.3
90905.9 14.4 37.3 302.2 -205.0 35777.3 0.7 111.0
90906.9 14.4 33.3 302.2 -318.1 35777.3 0.6 110.8
90909.1 14.4 31.6 302.2 -406.2 35777.3 -0.0 110.6
90913.5 14.4 36.4 302.1 -385.3 35777.3 -1.4 110.3
90917.0 14.4 38.7 302.1 -313.6 35777.3 -2.4 110.1
90914.4 14.4 22.6 302.1 -165.9 35777.3 -1.2 109.8
90916.0 14.4 23.0 302.1 -151.6 35777.3 -1.6 109.6
90914.2 14.4 13.3 302.1 -77.4 35777.3 -0.8 109.4
90912.2 14.4 3.6 302.0 -187.4 35777.3 -0.0 109.1
90911.0 14.4 -4.7 302.0 -252.2 35777.3 0.4 108.9
90910.0 14.4 -12.4 302.0 -250.4 35777.3 0.7 108.7
90911.7 14.4 -12.5 302.0 -435.5 35777.3 -0.0 108.5
90912.3 14.4 -16.3 302.0 -199.7 35777.3 -0.3 108.2
90912.8 14.4 -17.1 301.9 -150.8 35777.3 -0.6 108.0
90911.9 14.4 -22.4 301.9 -210.4 35777.3 -0.4 107.8
90910.2 14.4 -31.0 301.9 -297.7 35777.3 -0.1 107.5
90912.9 14.4 -26.6 301.9 -357.4 35777.3 -1.2 107.3
90915.1 14.4 -24.5 301.9 -375.2 35777.3 -2.2 107.1
90915.3 14.4 -27.2 301.8 -92.1 35777.3 -2.4 106.9
90915.2 14.4 -27.6 301.8 -74.8 35777.3 -2.6 106.6
90910.8 14.4 -41.9 301.8 -114.8 35777.3 -1.3 106.4
90908.0 14.4 -51.2 301.8 -202.9 35777.3 -0.6 106.2
90908.4 14.4 -51.6 301.8 -342.5 35777.3 -1.1 106.0
90908.5 14.4 -56.1 301.8 -578.7 35777.3 -1.5 105.8
90906.9 14.4 -68.2 301.7 -481.5 35777.3 -1.4 105.5
90907.9 14.4 -68.0 301.7 -269.0 35777.3 -2.2 105.3
90906.2 14.4 -72.9 301.7 -81.0 35777.3 -2.1 105.1
90905.3 14.4 -73.2 301.7 -118.4 35777.3 -2.3 104.9
90901.3 14.4 -84.0 301.7 -152.9 35777.3 -1.5 104.7
90899.2 14.4 -87.6 301.6 -42.9 35777.3 -1.3 104.5
90898.9 14.4 -82.9 301.6 40.9 35777.3 -1.8 104.3
90896.0 14.4 -86.1 301.6 37.4 35777.3 -1.4 104.0
